code,name,rights_month,rights_date,yuutai_genre,yuutai_content,min_investment
1444,ニッソウ,1,2025-01-31,金券・ギフト,"QUOカード（1,000円相当～）など",944000
5248,テクノロジーズ,1,2025-01-31,その他,"デジタルギフト（10,000円相当）",996000
7678,ファストフード・カフェの食事,1,2025-01-31,その他,,0
2997,ストレージ王,1,2025-01-31,金券・ギフト,"QUOカード（2,000円相当～）",195500
3246,コーセーアールイー,1,2025-01-31,金券・ギフト,キッズスマイルQUOカード（500円相当～）など,170600
3455,ヘルスケア&メディカル投資法人,1,2025-01-31,その他,優待品（1点）など,125000
9632,スバル興業,1,2025-01-31,金券・ギフト,"QUOカード（1,000円相当）",477000
7678,あさくま,1,2025-01-31,その他,「ヘパリーゼW」（10本）など,200100
3415,TOKYO BASE,1,2025-01-31,カタログギフト,"カタログギフト（2,000円相当～）",262100
1928,積水ハウス,1,2025-01-31,その他,「アドバンテッジ タフネス」の年間無料利用権,68000
3421,稲葉製作所,1,2025-01-31,金券・ギフト,"QUOカード（5,000円相当）など",83700
3399,丸千代山岡家,1,2025-01-31,買物券・プリペイドカード,"ブランドバッグ月額制シェアリングサービス「ラクサス」の優待利用割引券（12,000円相当）",15600
7073,ジェイック,1,2025-01-31,その他,なめ茸「志賀の郷」（1セット）,709000
5900,ダイケン,2,2025-02-28,買物券・プリペイドカード,"「ブックオフ」のほか、グループ店舗で使える優待買物割引券（2,000円相当～）など",132500
9979,大庄,2,2025-02-28,カタログギフト,"カタログギフト「PREMIER」（2,000円相当）",412500
9835,ジュンテンドー,2,2025-02-28,金券・ギフト,"QUOカード（5,000円相当）",168400
7453,良品計画,2,2025-02-28,買物券・プリペイドカード,"自社オンラインショップで使える株主優待クーポン（10,000円相当～）",144000
7610,テイツー,2,2025-02-28,買物券・プリペイドカード,「ミズノ公式オンライン」の優待買物割引（20％割引）など,278600
3977,フュージョン,2,2025-02-28,金券・ギフト,"JCBギフトカード（1,000円相当～）など",724000
9632,各種ギフトカードを贈る企業一覧,2,2025-02-28,その他,,0
3086,J.フロントリテイリング,2,2025-02-28,その他,「ニデックオルゴール記念館すわのね」の無料招待など,1883
3562,No.1,2,2025-02-28,金券・ギフト,"図書カード（1,000円相当～）",88000
5578,ARアドバンストテクノロジ,2,2025-02-28,金券・ギフト,図書カード（500円相当）など,120100
9846,天満屋ストア,2,2025-02-28,その他,優待割引価格で購入できるカタログなど,42100
7512,イオン北海道,2,2025-02-28,その他,ジェフグルメカード（500円相当～）など,265000
2669,カネ美食品,2,2025-02-28,金券・ギフト,"「プレミアム優待倶楽部」の優待ポイント（3,000円相当～）",666000
2882,イートアンドホールディングス,2,2025-02-28,金券・ギフト,"オリジナルQUOカード（1,000円相当）など",309000
9876,コックス,2,2025-02-28,その他,"おこめ券（1,320円相当～）",295000
8237,松屋,2,2025-02-28,その他,優待割引価格で購入できるカタログなど,42100
8267,イオン,2,2025-02-28,食品,熊本県産米（5kg）など,90600
8247,大和,2,2025-02-28,金券・ギフト,QUOカード（500円相当～）,242900
7516,コーナン商事,2,2025-02-28,金券・ギフト,"QUOカードPay（1,000円相当～）",102000
9602,東宝,2,2025-02-28,金券・ギフト,"QUOカード（5,000円相当）",499000
8125,ワキタ,2,2025-02-28,金券・ギフト,QUOカード（500円相当～）,109400
3181,買取王国,2,2025-02-28,金券・ギフト,"「プレミアム優待倶楽部」の優待ポイント（3,000円相当～）",295000
7520,エコス,2,2025-02-28,その他,「ピュアミルクアイス5個セット」引換券（1枚）など,191500
3222,ユナイテッド・スーパーマーケット・ホールディングス,2,2025-02-28,金券・ギフト,"QUOカード（1,000円相当）",477000
8016,オンワードホールディングス,2,2025-02-28,買物券・プリペイドカード,"「ガスト」のほか、グループ店舗で使える優待食事割引券（2,000円相当～）",278800
9903,カンセキ,2,2025-02-28,買物券・プリペイドカード,"自社書籍販売サイト「ビジネス専門書Online」で使えるクーポンコード（4,000円相当）",73200
3093,トレジャー・ファクトリー,2,2025-02-28,買物券・プリペイドカード,「ゼットオンラインショップ」で使える優待買物割引コード（20％割引）,46500
9861,吉野家ホールディングス,2,2025-02-28,金券・ギフト,"QUOカード（1,000円相当～）",217000
8609,岡三証券グループ,2,2025-02-28,金券・ギフト,"QUOカード（2,000円相当～）",327300
7485,岡谷鋼機,2,2025-02-28,その他,「TOHOシネマズ」のほか、グループ店舗で使える優待映画招待券（2枚～）など,905600
3382,セブン＆アイ・ホールディングス,2,2025-02-28,その他,"デジタルギフト（5,000円相当）",258800
3543,コメダホールディングス,2,2025-02-28,金券・ギフト,"QUOカード（1,000円相当～）など",129000
6086,シンメンテホールディングス,2,2025-02-28,金券・ギフト,"QUOカード（1,000円相当～）など",238000
8200,リンガーハット,2,2025-02-28,金券・ギフト,"QUOカード（10,000円相当）",252000
8185,チヨダ,2,2025-02-28,買物券・プリペイドカード,"「CVS・BAY HOTEL」のほか、グループ施設で使える優待宿泊割引券（1,000円相当～）",55900
8850,ガーデン,2,2025-02-28,その他,「ピタットハウス」不動産賃貸及び売買の仲介手数料割引など,478500
3030,ハブ,2,2025-02-28,その他,射出成形機プラモデルキットNEXシリーズ「NEX110V-12E」（1/20スケール）,85000
9993,ヤマザワ,2,2025-02-28,買物券・プリペイドカード,"「ネットオフ」で使える優待買物割引券（1,000円相当～）など",102100
9978,文教堂グループホールディングス,2,2025-02-28,買物券・プリペイドカード,"「ベルーナ」のほか、自社運営の通信販売で使える優待買物割引券（1,000円相当～）など",101700
7357,ジオコード,2,2025-02-28,金券・ギフト,"「プレミアム優待倶楽部」の優待ポイント（5,000円相当～）",211000
8181,東天紅,2,2025-02-28,金券・ギフト,"図書カード(1,000円相当～)",86300
8166,タカキュー,2,2025-02-28,金券・ギフト,"JCBギフトカード（1,000円相当～）",57800
2927,AFC-HDアムスライフサイエンス,2,2025-02-28,その他,"農家直送みかん（5,000円相当）など",467000
2379,ディップ,2,2025-02-28,金券・ギフト,"「プレミアアンチエイジング公式通販サイト」で使えるポイント（4,200円相当）",71400
9948,アークス,2,2025-02-28,買物券・プリペイドカード,"「Menicon Miru」のほか、グループ店舗で使えるメニコン優待券（10,000円相当）など",120200
3080,ジェーソン,2,2025-02-28,買物券・プリペイドカード,「三越」のほか、グループ店舗で使える優待買物割引カード（10％割引）,242450
8217,オークワ,2,2025-02-28,その他,"自社製品（2,000円相当）",225000
2668,タビオ,2,2025-02-28,金券・ギフト,QUOカード（500円相当～）など,69400
8011,三陽商会,2,2025-02-28,買物券・プリペイドカード,"「東建多度カントリークラブ」のほか、グループ施設で使える5,000円割引券（4枚）など",1415000
8233,高島屋,2,2025-02-28,金券・ギフト,QUOカード（500円相当～）,370000
2778,パレモ・ホールディングス,2,2025-02-28,金券・ギフト,"QUOカード（3,000円相当）",807000
3048,ビックカメラ,2,2025-02-28,その他,新潟県産こしひかり（2kg）,187800
3075,銚子丸,2,2025-02-28,買物券・プリペイドカード,"「アクシージア公式オンラインショップ」で使える優待買物割引券（6,000円相当～）",88000
5982,マルゼン,2,2025-02-28,金券・ギフト,"QUOカード（1,000円相当～）",457000
7975,リヒトラブ,2,2025-02-28,買物券・プリペイドカード,「愛眼」で使えるメガネフレームおよびメガネレンズの割引券（30％割引）など,17200
8260,井筒屋,2,2025-02-28,金券・ギフト,QUOカード（500円相当～）,164900
9842,アークランズ,2,2025-02-28,金券・ギフト,"QUOカード（2,000円相当）",296000
3063,ジェイグループホールディングス,2,2025-02-28,カタログギフト,"カタログギフト（2,000円相当～）など",130100
7514,ヒマラヤ,2,2025-02-28,食品,"自社商品（3,000円相当）",5410000
3608,TSIホールディングス,2,2025-02-28,金券・ギフト,"「プレミアム優待倶楽部」の優待ポイント（1,000円相当～）",144300
8273,イズミ,2,2025-02-28,金券・ギフト,QUOカード（500円相当～）,609000
3967,エルテス,2,2025-02-28,買物券・プリペイドカード,名鉄グループの施設で使える優待利用割引券セット（1冊）など,336900
3550,スタジオアタオ,2,2025-02-28,金券・ギフト,オリジナルQUOカード（500円相当）など,171300
5018,MORESCO,2,2025-02-28,買物券・プリペイドカード,"「しまむら」のほか、グループ店舗で使える優待買物割引券（2,000円相当～）",994500
4763,クリーク・アンド・リバー社,2,2025-02-28,金券・ギフト,"QUOカード（10,000円相当）",509600
9661,歌舞伎座,2,2025-02-28,その他,"地元特産品のギフトカタログ（3,000円相当～）",1180500
3087,ドトール・日レスホールディングス,2,2025-02-28,金券・ギフト,"「プレミアム優待倶楽部」の優待ポイント（3,000円相当～）",402000
9942,ジョイフル,2,2025-02-28,買物券・プリペイドカード,グループ施設優待割引券など,143700
2687,シー・ヴイ・エス・ベイエリア,2,2025-02-28,買物券・プリペイドカード,"自社店舗などで使える優待買物割引券（3,000円相当）",96300
7611,ハイデイ日高,2,2025-02-28,買物券・プリペイドカード,"「イシイのオンラインストア」で使える優待買物割引クーポン（4,000円相当）など",314000
8198,マックスバリュ東海,2,2025-02-28,金券・ギフト,"QUOカード（30,000円相当）など",259500
3065,ライフフーズ,2,2025-02-28,金券・ギフト,"QUOカード（2,000円相当～）",258400
2164,地域新聞社,2,2025-02-28,金券・ギフト,QUOカード（500円相当～）,109400
8617,光世証券,2,2025-02-28,その他,ジェフグルメカード（500円相当～）など,265000
3557,ユナイテッド＆コレクティブ,2,2025-02-28,金券・ギフト,「オークワ」のほか、グループ店舗で使える自社商品券（500円相当～）など,83200
3556,リネットジャパングループ,2,2025-02-28,食事券,「マクドナルド」で使える優待食事無料券の冊子（1冊：18枚～）,603000
7678,ファストフード・カフェの食事,2,2025-02-28,その他,,0
2292,S Foods,2,2025-02-28,その他,自社製品詰め合わせ（500円相当～）など,247900
9929,INGS,2,2025-02-28,その他,"家庭紙詰め合わせセット（3,000円相当）など",442000
2747,北雄ラッキー,2,2025-02-28,その他,"地元特産品のギフトカタログ（3,000円相当～）",1180500
2726,パルグループホールディングス,2,2025-02-28,買物券・プリペイドカード,"「薬クリエイト」のほか、グループ店舗で使える買物優待割引券（1,500円相当～）",319500
3558,ジェイドグループ,2,2025-02-28,金券・ギフト,「プレミアム優待倶楽部」の優待ポイント（600円相当～）,193500
3141,ウエルシアホールディングス,2,2025-02-28,金券・ギフト,"QUOカード（1,000円相当）など",251850
3546,アレンザホールディングス,2,2025-02-28,買物券・プリペイドカード,"「しゃぶ菜」のほか、グループ店舗で使える優待食事割引券（2,000円相当～）",73500
2789,カルラ,2,2025-02-28,その他,"日本証券新聞デジタル版の購読券（3か月分：9,000円相当～）など",177300
3548,バロックジャパンリミテッド,2,2025-02-28,その他,おこめ券（880円相当）,383500
7811,中本パックス,2,2025-02-28,金券・ギフト,"QUOカード（1,000円相当～）",184700
7818,トランザクション,2,2025-02-28,買物券・プリペイドカード,"ブランドバッグ月額制シェアリングサービス「ラクサス」の優待利用割引券（12,000円相当）",15600
8278,フジ,2,2025-02-28,金券・ギフト,QUOカード（500円相当）など,32900
3479,ティーケーピー,2,2025-02-28,金券・ギフト,"「プレミアム優待倶楽部」の優待ポイント（6,000円相当～）",485800
3193,レストランの食事,2,2025-02-28,その他,,0
4596,窪田製薬ホールディングス,2,2025-02-28,その他,"自社取扱商品（4,000円相当）",141600
3198,SFPホールディングス,2,2025-02-28,その他,オリジナルカレンダー（1部）など,494800
4920,日本色材工業研究所,2,2025-02-28,買物券・プリペイドカード,「SHOEI Gallery TOKYO」のほか、グループ店舗で使える優待買物割引券（15％割引）など,163900
3050,DCMホールディングス,2,2025-02-28,金券・ギフト,"オリジナル図書カード（1,000円相当～）など",158400
2997,QUOカードを贈る企業一覧,2,2025-02-28,その他,,0
6182,メタリアル,2,2025-02-28,その他,動画配信サービス「Hulu」で使える視聴利用チケット（1か月分～）など,374300
3915,テラスカイ,2,2025-02-28,その他,ジェフグルメカード（500円相当～）,153300
8008,ヨンドシーホールディングス,2,2025-02-28,その他,"北海道の特産品（3,000円相当）など",838000
3490,アズ企画設計,2,2025-02-28,その他,"独立支援サービス「Midworks」の参画お祝い金（20,000円相当）など",73400
9976,セキチュー,2,2025-02-28,買物券・プリペイドカード,"「CVS・BAY HOTEL」のほか、グループ施設で使える優待宿泊割引券（1,000円相当～）",55900
1997,暁飯島工業,2,2025-02-28,金券・ギフト,QUOカード（500円相当～）,236500
7603,マックハウス,2,2025-02-28,買物券・プリペイドカード,"「あさくま」のほか、グループ店舗で使える優待食事割引券（4,000円相当）など",432000
2653,イオン九州,2,2025-02-28,その他,"フィットネスジム「アーバンフィット24」で使える優待利用券（5,940円相当）など",48100
7427,エコートレーディング,2,2025-02-28,その他,"おこめ券（1,320円相当～）",295000
2300,きょくとう,2,2025-02-28,カタログギフト,"オリジナルカタログギフト（3,000円相当）",753500
6279,瑞光,2,2025-02-28,金券・ギフト,"QUOカード（1,000円相当～）",333500
4645,市進ホールディングス,2,2025-02-28,その他,「山種美術館」カレンダー（1部）など,255200
7999,サイプレス・ホールディングス,2,2025-02-28,カタログギフト,"カタログギフト（3,000円相当～）",279200
4397,チームスピリット,2,2025-02-28,食事券,「まちの社員食堂」の食事を会員価格で提供など,43900
8194,ライフコーポレーション,2,2025-02-28,その他,"自社製品（2,500円相当～）",476500
3612,ワールド,2,2025-02-28,カタログギフト,"オリジナルカタログギフト（3,000円相当～）",346000
2337,いちご,2,2025-02-28,金券・ギフト,オリジナルQUOカード（500円相当～）,211700
8244,近鉄百貨店,2,2025-02-28,食品,自社オリジナル商品（お菓子など）,399000
2659,サンエー,2,2025-02-28,金券・ギフト,"「プレミアム優待倶楽部」の優待ポイント（2,500円相当～）",195000
2686,ジーフット,2,2025-02-28,買物券・プリペイドカード,"「KAKIYASU DINING」のほか、グループ店舗で使える優待利用割引券（1,000円相当～）など",260900
2884,ヨシムラ・フード・ホールディングス,2,2025-02-28,金券・ギフト,"QUOカード（1,000円相当）",161500
8276,平和堂,2,2025-02-28,その他,新潟県産コシヒカリ（1kg相当～）,97400
3045,カワサキ,2,2025-02-28,金券・ギフト,"QUOカード（2,000円相当～）",377000
9418,U-NEXT HOLDINGS,2,2025-02-28,金券・ギフト,オリジナルQUOカード（500円相当～）,90300
2935,ピックルスホールディングス,2,2025-02-28,金券・ギフト,"VJAギフトカード（10,000円相当～）",499200
3391,ツルハホールディングス,2,2025-02-28,買物券・プリペイドカード,"「フライングガーデン」で使える優待食事割引券（2,000円相当～）など",279400
6333,TENTIAL,2,2025-02-28,金券・ギフト,"オリジナルQUOカード（1,000円相当）など",309000
5580,プロディライト,2,2025-02-28,買物券・プリペイドカード,"「モスバーガー」のほか、グループ店舗で使える優待食事割引券（1,000円相当～）",386500
9601,松竹,2,2025-02-28,その他,新潟県魚沼産コシヒカリ（5kg相当～）,2193000
7513,コジマ,2,2025-02-28,金券・ギフト,QUOカード（500円相当～）,284500
8167,リテールパートナーズ,2,2025-02-28,金券・ギフト,"オリジナルQUOカード（1,000円相当～）",231200
4343,イオンファンタジー,2,2025-02-28,金券・ギフト,"QUOカード（1,000円相当）",200000
2798,ワイズテーブルコーポレーション,2,2025-02-28,その他,「日本ハウス・ファーム函館農場」の生産野菜を使ったスープセット（1セット）,297000
2901,ウェルディッシュ,2,2025-02-28,金券・ギフト,"「ヒマラヤスポーツ」のほか、グループ店舗で使えるヒマラヤポイント（1,000ポイント～）など",85600
2685,アンドエスティHD,2,2025-02-28,買物券・プリペイドカード,"「ヤマザワ」で使える優待買物割引券（2,000円相当～）など",115100
5271,トーヨーアサノ,2,2025-02-28,カタログギフト,"オリジナルカタログギフト（3,000円相当～）",1284600
7515,マルヨシセンター,2,2025-02-28,その他,"自社製品（1,000円相当～）",248400
6897,ツインバード,2,2025-02-28,金券・ギフト,"QUOカード（1,000円相当）",75100
3223,エスエルディー,2,2025-02-28,その他,"洗剤セット（3,000円相当）",391000
9778,昴,2,2025-02-28,その他,"自社製品（3,000円相当～）",366500
9982,タキヒヨー,2,2025-02-28,買物券・プリペイドカード,"自社店舗で使える優待買物割引券（2,000円相当～）",42300
6543,日宣,2,2025-02-28,金券・ギフト,QUOカードPay（500円相当～）など,252600
5025,マーキュリー,2,2025-02-28,金券・ギフト,QUOカードPay（500円相当～）など,252600
7077,ALinkインターネット,2,2025-02-28,食品,"自社商品の詰め合わせ（1,500円相当～）",227200
7630,壱番屋,2,2025-02-28,金券・ギフト,りそなグループの銀行で優遇が受けられるクラブポイント（年間240ポイント～）,149350
9238,バリュークリエーション,2,2025-02-28,その他,"自社製品の詰め合わせ（1,000円相当～）",333500
9946,ミニストップ,2,2025-02-28,金券・ギフト,"映像サービス「U-NEXT」で利用できるポイント（1,000円相当～）など",203500
3387,クリエイト・レストランツ・ホールディングス,2,2025-02-28,金券・ギフト,"全国共通商品券（2,000円相当～）",171900
8227,しまむら,2,2025-02-28,カタログギフト,"カタログギフト（1,000円相当～）",331500
2742,ハローズ,2,2025-02-28,食品,"自社商品（2,500円相当）",194600
2972,サンケイリアルエステート投資法人,2,2025-02-28,その他,貴金属製品の優待価格売買,2970
9974,ベルク,2,2025-02-28,金券・ギフト,QUOカード（500円相当～）,284500
7649,スギホールディングス,2,2025-02-28,その他,"デジタルギフト（1,000円相当～）",48200
2930,北の達人コーポレーション,2,2025-02-28,金券・ギフト,"QUOカード（1,000円相当～）",523000
7545,西松屋チェーン,2,2025-02-28,金券・ギフト,"優待ポイント（20,000円相当）",835750
3922,PR TIMES,2,2025-02-28,その他,新潟県魚沼産コシヒカリ（5kg相当～）,2193000
7049,識学,2,2025-02-28,その他,美術展覧会「Idemitsu Art Award展」の招待券,1072
8254,さいか屋,2,2025-02-28,買物券・プリペイドカード,「AOKI」のほか、グループ店舗で使える優待買物割引券（20％：5枚～）など,166300
4439,東名,2,2025-02-28,その他,新潟県産コシヒカリ（1kg相当～）,97400
3174,ハピネス・アンド・ディ,2,2025-02-28,金券・ギフト,QUOカード（500円相当～）,236500
3384,アークコア,2,2025-02-28,その他,トイレットペーパー「ワンタッチコアレスＮ」（24ロール）,362000
9330,揚羽,3,2025-03-31,金券・ギフト,"「プレミアム優待倶楽部」の優待ポイント（5,000円相当～）",818400
4247,ポバール興業,3,2025-03-31,その他,静岡の新茶（1パック）,568000
2815,アリアケジャパン,3,2025-03-31,その他,おこめ券（880円相当～）,287300
5906,エムケー精工,3,2025-03-31,その他,"自社製品の詰め合わせ（1,500円相当～）など",180500
9635,武蔵野興業,3,2025-03-31,その他,"おこめ券（1,320円相当～）",242800
6623,愛知電機,3,2025-03-31,その他,"東北の特産品（2,300円相当～）など",698000
9404,日本テレビホールディングス,3,2025-03-31,金券・ギフト,"QUOカード（1,000円相当～）など",299150
2207,meito,3,2025-03-31,食品,"自社商品（3,000円相当）",495000
4998,フマキラー,3,2025-03-31,金券・ギフト,"ドトールバリューカード（1,000ポイント～）",240400
3096,オーシャンシステム,3,2025-03-31,その他,おこめ券（880円相当～）,33700
7114,フーディソン,3,2025-03-31,金券・ギフト,ギフトカード（500円相当～）など,144000
2875,東洋水産,3,2025-03-31,金券・ギフト,"QUOカード（2,000円相当～）など",272900
9385,ショーエイコーポレーション,3,2025-03-31,その他,"自社特別企画品（3,000円相当）など",134800
7578,ニチリョク,3,2025-03-31,その他,"自社製品（3,000円相当～）など",403400
3691,デジタルプラス,3,2025-03-31,金券・ギフト,"QUOカード（5,000円相当）",75900
8104,クワザワホールディングス,3,2025-03-31,買物券・プリペイドカード,「HANABISHI」のオーダー商品の購入に使える優待買物割引券（10％割引：1枚）など,1297
6580,ライトアップ,3,2025-03-31,その他,優待割引運賃が利用できる「株主優待番号の案内書」（1枚～）など,288900
4801,セントラルスポーツ,3,2025-03-31,金券・ギフト,"公式通販サイトで使えるイミダポイント（2,000円相当～）",18300
9044,南海電気鉄道,3,2025-03-31,カタログギフト,"北海道の特産品カタログギフト（2,000円相当～）",1797500
9519,レノバ,3,2025-03-31,買物券・プリペイドカード,"「リーガルシューズ」のほか、グループ店舗で使える優待買物割引券（5,000円相当～）",241000
9990,サックスバーホールディングス,3,2025-03-31,金券・ギフト,"「プレミアム優待倶楽部」の優待ポイント（5,000円相当～）",772000
8043,スターゼン,3,2025-03-31,金券・ギフト,"VISAギフトカード（5,000円相当～）など",425000
4539,日本ケミファ,3,2025-03-31,買物券・プリペイドカード,"「Joshin」で使える優待買物割引券（2,200円相当～）",267200
9010,富士急行,3,2025-03-31,その他,"自社製品（マスクなど）（5,000円相当）",800000
2749,JPホールディングス,3,2025-03-31,金券・ギフト,QUOカード（500円相当～）,86300
8398,筑邦銀行,3,2025-03-31,その他,"「MyBook」サービスで使える優待割引利用券（1,000円相当）",34800
4678,秀英予備校,3,2025-03-31,その他,施設見学会（抽選）,284100
3799,キーウェアソリューションズ,3,2025-03-31,その他,"株主限定タオルセット（5,000円相当）など",207600
1952,新日本空調,3,2025-03-31,金券・ギフト,"「プレミアム優待倶楽部」の優待ポイント（5,000円相当～）",357600
2469,ヒビノ,3,2025-03-31,その他,自社グループ商品の詰め合わせ,115400
4061,デンカ,3,2025-03-31,金券・ギフト,"QUOカード（1,000円相当～）など",79800
8061,西華産業,3,2025-03-31,買物券・プリペイドカード,"「元気寿司」のほか、グループ店舗で使える優待食事割引券（1,000円相当～）",303000
7271,安永,3,2025-03-31,金券・ギフト,"QUOカード（1,000円相当）",161500
1375,ユキグニファクトリー,3,2025-03-31,その他,"自社関連商品の詰め合わせ（1,000円相当～）",319100
1795,マサル,3,2025-03-31,金券・ギフト,"QUOカード（1,000円相当～）",110800
4754,トスネット,3,2025-03-31,カタログギフト,"北海道の特産品カタログギフト（2,000円相当～）",1797500
5186,ニッタ,3,2025-03-31,その他,"農家直送みかん（5,000円相当）など",467000
9533,東邦瓦斯,3,2025-03-31,買物券・プリペイドカード,"「古本市場」のほか、グループ店舗で使える優待買物割引券（2,000円相当～）",134000
9726,KNT-CTホールディングス,3,2025-03-31,金券・ギフト,"PayPayマネーライト（1,000円相当）",21870
4718,早稲田アカデミー,3,2025-03-31,食品,"自社特選お菓子（2,200円相当～）など",75800
3800,ユニリタ,3,2025-03-31,金券・ギフト,"QUOカード（1,000円相当）",80100
1780,ヤマウラ,3,2025-03-31,金券・ギフト,"オリジナルQUOカード（4,000円相当）など",160000
8153,モスフードサービス,3,2025-03-31,その他,"自社製品の詰め合わせ（3,000円相当～）",328000
9956,バローホールディングス,3,2025-03-31,その他,"自社製品の詰め合わせ（3,000円相当～）",328000
3178,チムニー,3,2025-03-31,金券・ギフト,"QUOカード（3,000円相当～）",927000
6557,AIAIグループ,3,2025-03-31,その他,自社グループ商品の詰め合わせ,115400
9996,サトー商会,3,2025-03-31,買物券・プリペイドカード,"「ヨネックス公式オンラインショップ」で使える優待買物割引クーポン（3,000円相当～）",1588000
8136,サンリオ,3,2025-03-31,金券・ギフト,"QUOカード（1,000円相当）など",251850
8018,三共生興,3,2025-03-31,その他,"OUOカード（1,000円相当～）",30600
7987,ナカバヤシ,3,2025-03-31,その他,"自社製品の詰め合わせ（1,000円相当～）",333500
1793,大本組,3,2025-03-31,買物券・プリペイドカード,「近鉄百貨店」で使える割引優待買物カード（10％割引：1枚）など,187900
9049,京福電気鉄道,3,2025-03-31,金券・ギフト,"QUOカード（1,000円相当）",227200
6258,平田機工,3,2025-03-31,その他,"「MyBook」サービスで使える優待割引利用券（1,000円相当）",34800
6490,PILLAR,3,2025-03-31,買物券・プリペイドカード,「松屋銀座」のほか、グループ店舗で使える優待買物割引カード（10％割引：1枚）など,172800
3635,コーエーテクモホールディングス,3,2025-03-31,金券・ギフト,"QUOカード（5,000円相当）",342000
9348,ispace,3,2025-03-31,金券・ギフト,QUOカード（500円相当～）,85600
4625,アトミクス,3,2025-03-31,金券・ギフト,"VISAギフトカード（5,000円相当～）など",425000
6586,マキタ,3,2025-03-31,その他,"ジェフグルメカード（1,000円相当～）",582200
3395,サンマルクホールディングス,3,2025-03-31,その他,自社グループ事業の関連商品,1149000
8365,富山銀行,3,2025-03-31,金券・ギフト,"メディアプラットフォーム「note」で使えるnoteポイント（3,000円相当～）",129800
6405,鈴茂器工,3,2025-03-31,金券・ギフト,"「プレミアム優待倶楽部」の優待ポイント（2,500円相当～）",508000
9616,共立メンテナンス,3,2025-03-31,金券・ギフト,"Amazonギフトカード（5,000円相当～）",626000
8562,福島銀行,3,2025-03-31,その他,"自社製品の詰め合わせ（1,200円相当～）など",173200
3202,ダイトウボウ,3,2025-03-31,金券・ギフト,"JCBギフトカード（1,000円相当～）",51200
3648,AGS,3,2025-03-31,食品,"自社商品（5,000円相当～）",76200
7490,日新商事,3,2025-03-31,金券・ギフト,オリジナルQUOカード（500円相当）など,125100
1860,戸田建設,3,2025-03-31,その他,"人間ドッグや健康診断に使えるマーソギフト券（1,500円相当～）",98900
3708,特種東海製紙,3,2025-03-31,金券・ギフト,"「プレミアム優待倶楽部」の優待ポイント（3,000円相当～）",268000
